fare_id,price,currency_type,payment_method
single-kmzone1-Abbotsdale-Akasia Park,10.0,R,0
single-kmzone1-Akasia Park-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Akasia Park,20.0,R,0
return-kmzone1-Akasia Park-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Akasia Park,60.0,R,0
monfri-week-kmzone1-Akasia Park-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Akasia Park,75.0,R,0
monsat-week-kmzone1-Akasia Park-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Akasia Park,180.0,R,0
month-kmzone1-Akasia Park-Abbotsdale,180.0,R,0
single-kmzone1-Abbotsdale-Artois,10.0,R,0
single-kmzone1-Artois-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Artois,20.0,R,0
return-kmzone1-Artois-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Artois,60.0,R,0
monfri-week-kmzone1-Artois-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Artois,75.0,R,0
monsat-week-kmzone1-Artois-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Artois,180.0,R,0
month-kmzone1-Artois-Abbotsdale,180.0,R,0
single-kmzone1-Abbotsdale-Athlone,10.0,R,0
single-kmzone1-Athlone-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Athlone,20.0,R,0
return-kmzone1-Athlone-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Athlone,60.0,R,0
monfri-week-kmzone1-Athlone-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Athlone,75.0,R,0
monsat-week-kmzone1-Athlone-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Athlone,180.0,R,0
month-kmzone1-Athlone-Abbotsdale,180.0,R,0
single-kmzone4-Abbotsdale-Avondale,15.0,R,0
single-kmzone4-Avondale-Abbotsdale,15.0,R,0
return-kmzone4-Abbotsdale-Avondale,30.0,R,0
return-kmzone4-Avondale-Abbotsdale,30.0,R,0
monfri-week-kmzone4-Abbotsdale-Avondale,90.0,R,0
monfri-week-kmzone4-Avondale-Abbotsdale,90.0,R,0
monsat-week-kmzone4-Abbotsdale-Avondale,120.0,R,0
monsat-week-kmzone4-Avondale-Abbotsdale,120.0,R,0
month-kmzone4-Abbotsdale-Avondale,280.0,R,0
month-kmzone4-Avondale-Abbotsdale,280.0,R,0
single-kmzone1-Abbotsdale-Belhar,10.0,R,0
single-kmzone1-Belhar-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Belhar,20.0,R,0
return-kmzone1-Belhar-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Belhar,60.0,R,0
monfri-week-kmzone1-Belhar-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Belhar,75.0,R,0
monsat-week-kmzone1-Belhar-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Belhar,180.0,R,0
month-kmzone1-Belhar-Abbotsdale,180.0,R,0
single-kmzone4-Abbotsdale-Bellville,15.0,R,0
single-kmzone4-Bellville-Abbotsdale,15.0,R,0
return-kmzone4-Abbotsdale-Bellville,30.0,R,0
return-kmzone4-Bellville-Abbotsdale,30.0,R,0
monfri-week-kmzone4-Abbotsdale-Bellville,90.0,R,0
monfri-week-kmzone4-Bellville-Abbotsdale,90.0,R,0
monsat-week-kmzone4-Abbotsdale-Bellville,120.0,R,0
monsat-week-kmzone4-Bellville-Abbotsdale,120.0,R,0
month-kmzone4-Abbotsdale-Bellville,280.0,R,0
month-kmzone4-Bellville-Abbotsdale,280.0,R,0
single-kmzone1-Abbotsdale-Blackheath,10.0,R,0
single-kmzone1-Blackheath-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Blackheath,20.0,R,0
return-kmzone1-Blackheath-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Blackheath,60.0,R,0
monfri-week-kmzone1-Blackheath-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Blackheath,75.0,R,0
monsat-week-kmzone1-Blackheath-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Blackheath,180.0,R,0
month-kmzone1-Blackheath-Abbotsdale,180.0,R,0
