fare_id,origin_id,destination_id
single-kmzone1-Abbotsdale-Akasia Park,Abbotsdale,Akasia Park
single-kmzone1-Akasia Park-Abbotsdale,Akasia Park,Abbotsdale
return-kmzone1-Abbotsdale-Akasia Park,Abbotsdale,Akasia Park
return-kmzone1-Akasia Park-Abbotsdale,Akasia Park,Abbotsdale
monfri-week-kmzone1-Abbotsdale-Akasia Park,Abbotsdale,Akasia Park
monfri-week-kmzone1-Akasia Park-Abbotsdale,Akasia Park,Abbotsdale
monsat-week-kmzone1-Abbotsdale-Akasia Park,Abbotsdale,Akasia Park
monsat-week-kmzone1-Akasia Park-Abbotsdale,Akasia Park,Abbotsdale
month-kmzone1-Abbotsdale-Akasia Park,Abbotsdale,Akasia Park
month-kmzone1-Akasia Park-Abbotsdale,Akasia Park,Abbotsdale
single-kmzone1-Abbotsdale-Artois,Abbotsdale,Artois
single-kmzone1-Artois-Abbotsdale,Artois,Abbotsdale
return-kmzone1-Abbotsdale-Artois,Abbotsdale,Artois
return-kmzone1-Artois-Abbotsdale,Artois,Abbotsdale
monfri-week-kmzone1-Abbotsdale-Artois,Abbotsdale,Artois
monfri-week-kmzone1-Artois-Abbotsdale,Artois,Abbotsdale
monsat-week-kmzone1-Abbotsdale-Artois,Abbotsdale,Artois
monsat-week-kmzone1-Artois-Abbotsdale,Artois,Abbotsdale
month-kmzone1-Abbotsdale-Artois,Abbotsdale,Artois
month-kmzone1-Artois-Abbotsdale,Artois,Abbotsdale
single-kmzone1-Abbotsdale-Athlone,Abbotsdale,Athlone
single-kmzone1-Athlone-Abbotsdale,Athlone,Abbotsdale
return-kmzone1-Abbotsdale-Athlone,Abbotsdale,Athlone
return-kmzone1-Athlone-Abbotsdale,Athlone,Abbotsdale
monfri-week-kmzone1-Abbotsdale-Athlone,Abbotsdale,Athlone
monfri-week-kmzone1-Athlone-Abbotsdale,Athlone,Abbotsdale
monsat-week-kmzone1-Abbotsdale-Athlone,Abbotsdale,Athlone
monsat-week-kmzone1-Athlone-Abbotsdale,Athlone,Abbotsdale
month-kmzone1-Abbotsdale-Athlone,Abbotsdale,Athlone
month-kmzone1-Athlone-Abbotsdale,Athlone,Abbotsdale
single-kmzone4-Abbotsdale-Avondale,Abbotsdale,Avondale
single-kmzone4-Avondale-Abbotsdale,Avondale,Abbotsdale
return-kmzone4-Abbotsdale-Avondale,Abbotsdale,Avondale
return-kmzone4-Avondale-Abbotsdale,Avondale,Abbotsdale
monfri-week-kmzone4-Abbotsdale-Avondale,Abbotsdale,Avondale
monfri-week-kmzone4-Avondale-Abbotsdale,Avondale,Abbotsdale
monsat-week-kmzone4-Abbotsdale-Avondale,Abbotsdale,Avondale
monsat-week-kmzone4-Avondale-Abbotsdale,Avondale,Abbotsdale
month-kmzone4-Abbotsdale-Avondale,Abbotsdale,Avondale
