stop_id,stop_name,stop_lat,stop_lon,stop_desc,zone_id,stop_url
CAPE TOWN,Cape Town Station,-33.92225833,18.42530278,,Cape Town Station,
WOODSTOCK,Woodstock Station,-33.92545278,18.44570833,,Woodstock Station,
SALT RIVER,Salt River Station,-33.92735,18.46434722,,Salt River Station,
OBSERVATORY,Observatory Station,-33.93798333,18.47151111,,Observatory Station,
MOWBRAY,Mowbray Station,-33.94678056,18.47391111,,Mowbray Station,
ROSEBANK,Rosebank Station,-33.95483889,18.47311389,,Rosebank Station,
RONDEBOSCH,Rondebosch Station,-33.96216944,18.47235,,Rondebosch Station,
NEWLANDS,Newlands Station,-33.974525,18.46753333,,Newlands Station,
CLAREMONT,Claremont Station,-33.98167222,18.46713333,,Claremont Station,
HARFIELD ROAD,Harfield Road Station,-33.98840278,18.47133056,,Harfield Road Station,
KENILWORTH,Kenilworth Station,-33.99530278,18.47302222,,Kenilworth Station,
WYNBERG,Wynberg Station,-34.00491111,18.47117778,,Wynberg Station,
WITTEBOME,Wittebome Station,-34.01410833,18.47075833,,Wittebome Station,
PLUMSTEAD,Plumstead Station,-34.021975,18.46972778,,Plumstead Station,
STEURHOF,Steurhof Station,-34.02938889,18.46888889,,Steurhof Station,
DIEP RIVER,Diep River Station,-34.03565278,18.46698056,,Diep River Station,
HEATHFIELD,Heathfield Station,-34.04601389,18.465575,,Heathfield Station,
RETREAT,Retreat Station,-34.05991111,18.46301389,,Retreat Station,
STEENBERG,Steenberg Station,-34.07656667,18.463675,,Steenberg Station,
LAKESIDE,Lakeside Station,-34.08844722,18.46248333,,Lakeside Station,
FALSE BAY,False Bay Station,-34.10252778,18.46881389,,False Bay Station,
MUIZENBERG,Muizenberg Station,-34.10962778,18.46784444,,Muizenberg Station,
ST. JAMES,St. James Station,-34.11932222,18.45836944,,St. James Station,
KALK BAY,Kalk Bay Station,-34.12621111,18.45006389,,Kalk Bay Station,
FISH HOEK,Fish Hoek Station,-34.137175,18.43253889,,Fish Hoek Station,
KOEBERG RD,Koeberg Rd Station,-33.9257694444444,18.4786666666667,,Koeberg Rd Station,
MAITLAND,Maitland Station,-33.9246583333333,18.4869416666667,,Maitland Station,
NDABENI,Ndabeni Station,-33.9287361111111,18.4950361111111,,Ndabeni Station,
PINELANDS,Pinelands Station,-33.93965,18.490625,,Pinelands Station,
HAZENDAL,Hazendal Station,-33.9531388888889,18.5024416666667,,Hazendal Station,
ATHLONE,Athlone Station,-33.96275,18.5017055555556,,Athlone Station,
CRAWFORD,Crawford Station,-33.9764,18.5013416666667,,Crawford Station,
LANSDOWNE,Lansdowne Station,-33.9876055555556,18.5038666666667,,Lansdowne Station,
WETTON,Wetton Station,-34.0019666666667,18.5011027777778,,Wetton Station,
OTTERY,Ottery Station,-34.0134666666667,18.4952027777778,,Ottery Station,
SOUTHFIELD,Southfield Station,-34.0327444444445,18.4821888888889,,Southfield Station,
ESPLANADE,Esplanade Station,-33.92385833,18.44583056,,Esplanade Station,
YSTERPLAAT,Ysterplaat Station,-33.91993056,18.47655278,,Ysterplaat Station,
