route_id,service_id,trip_id,trip_headsign,shape_id
NTH-23s,WE,WE-2300,Cape Town Station,
NTH-23s,WE,WE-2302,Cape Town Station,
NTH-23s,WE,WE-2304,Cape Town Station,
NTH-23s,WE,WE-2306,Cape Town Station,
NTH-23s,WE,WE-2301,Eerste River Station,
NTH-23s,WE,WE-2303,Eerste River Station,
NTH-23s,WE,WE-2305,Eerste River Station,
NTH-25s,WE,WE-2500,Cape Town Station,
NTH-25s,WE,WE-2502,Cape Town Station,
NTH-25s,WE,WE-2504,Cape Town Station,
NTH-25s,WE,WE-2506,Cape Town Station,
NTH-25s,WE,WE-2514,Cape Town Station,
NTH-25s,WE,WE-2508,Cape Town Station,
NTH-25s,WE,WE-2501,Kraaifontein Station,
NTH-25s,WE,WE-2503,Kraaifontein Station,
NTH-25s,WE,WE-2505,Kraaifontein Station,
NTH-25s,WE,WE-2507,Kraaifontein Station,
NTH-34s,WE,WE-3400,Bellville Station,34_via_eerste_river
NTH-34s,WE,WE-3402,Eerste River Station,34_via_eerste_river
NTH-34s,WE,WE-3404,Eerste River Station,34_via_eerste_river
NTH-34s,WE,WE-3406,Bellville Station,34_via_eerste_river
NTH-34s,WE,WE-3401,Du Toit station ,34_via_eerste_river_back
NTH-34s,WE,WE-3403,Du Toit station ,34_via_eerste_river_back
NTH-34s,WE,WE-3405,Du Toit station ,34_via_eerste_river_back
NTH-34s,WE,WE-3407,Du Toit station ,34_via_eerste_river_back
NTH-28s,WD,WD-2800,Cape Town Station,28_nthrn_line_shape_back
NTH-28s,WD,WD-2802,Cape Town Station,28_nthrn_line_shape_back
NTH-28s,WD,WD-2804,Cape Town Station,28_nthrn_line_shape_back
NTH-28s,WD,WD-2806,Cape Town Station,28_nthrn_line_shape_back
NTH-28s,WD,WD-2808,Cape Town Station,28_nthrn_line_shape_back
NTH-28s,WD,WD-2810,Cape Town Station,28_nthrn_line_shape_back
NTH-28s,WD,WD-2812,Cape Town Station,28_nthrn_line_shape_back
NTH-28s,WD,WD-2814,Cape Town Station,28_nthrn_line_shape_back
NTH-28s,WD,WD-2816,Cape Town Station,28_nthrn_line_shape_back
NTH-28s,WD,WD-2801,Bellville Station,28_nthrn_line_shape
NTH-28s,WD,WD-2803,Bellville Station,28_nthrn_line_shape
NTH-28s,WD,WD-2805,Bellville Station,28_nthrn_line_shape
NTH-28s,WD,WD-2807,Bellville Station,28_nthrn_line_shape
NTH-28s,WD,WD-2809,Bellville Station,28_nthrn_line_shape
NTH-28s,WD,WD-2811,Bellville Station,28_nthrn_line_shape
NTH-28s,WD,WD-2813,Bellville Station,28_nthrn_line_shape
NTH-28s,WD,WD-2815,Bellville Station,28_nthrn_line_shape
NTH-28s,WD,WD-2817,Bellville Station,28_nthrn_line_shape
NTH-28s,WE,WE-2800,Cape Town Station,28_nthrn_line_shape_back
NTH-28s,WE,WE-2802,Cape Town Station,28_nthrn_line_shape_back
NTH-28s,WE,WE-2804,Cape Town Station,28_nthrn_line_shape_back
NTH-28s,WE,WE-2806,Cape Town Station,28_nthrn_line_shape_back
NTH-28s,WE,WE-2801,Bellville Station,28_nthrn_line_shape
NTH-28s,WE,WE-2803,Bellville Station,28_nthrn_line_shape
NTH-28s,WE,WE-2805,Bellville Station,28_nthrn_line_shape
NTH-28s,WE,WE-2807,Bellville Station,28_nthrn_line_shape
NTH-32s,WD,WD-3201,Strand Station,32_nthrn_line_shape_back
NTH-32s,WD,WD-3205,Strand Station,32_nthrn_line_shape_back
NTH-32s,WD,WD-3207,Strand Station,32_nthrn_line_shape_back
NTH-32s,WD,WD-3209,Strand Station,32_nthrn_line_shape_back
NTH-32s,WD,WD-3211,Strand Station,32_nthrn_line_shape_back
NTH-32s,WD,WD-3213,Strand Station,32_nthrn_line_shape_back
NTH-32s,WD,WD-3215,Strand Station,32_nthrn_line_shape_back
NTH-32s,WD,WD-3219,Strand Station,32_nthrn_line_shape_back
NTH-32s,WD,WD-3234,Eerste River Station,32_nthrn_line_shape
NTH-32s,WD,WD-3202,Cape Town Station,32_nthrn_line_shape
NTH-32s,WD,WD-3206,Bellville Station,32_nthrn_line_shape
NTH-32s,WD,WD-3208,Bellville Station,32_nthrn_line_shape
NTH-32s,WD,WD-3210,Cape Town Station,32_nthrn_line_shape
NTH-32s,WD,WD-3212,Bellville Station,32_nthrn_line_shape
NTH-32s,WD,WD-3214,Cape Town Station,32_nthrn_line_shape
NTH-32s,WD,WD-3216,Cape Town Station,32_nthrn_line_shape
NTH-32s,WD,WD-3218,Cape Town Station,32_nthrn_line_shape
NTH-32s,WE,WE-3201,Strand Station,32_nthrn_line_shape_back
NTH-32s,WE,WE-3203,Strand Station,32_nthrn_line_shape_back
NTH-32s,WE,WE-3205,Strand Station,32_nthrn_line_shape_back
NTH-32s,WE,WE-3207,Strand Station,32_nthrn_line_shape_back
NTH-32s,WE,WE-3211,Strand Station,32_nthrn_line_shape_back
NTH-32s,WE,WE-3200,Eerste River Station,32_nthrn_line_shape
NTH-32s,WE,WE-3202,Eerste River Station,32_nthrn_line_shape
NTH-32s,WE,WE-3204,Bellville Station,32_nthrn_line_shape
NTH-32s,WE,WE-3206,Bellville Station,32_nthrn_line_shape
NTH-32s,WE,WE-3208,Eerste River Station,32_nthrn_line_shape
NTH-32s,WE,WE-3210,Cape Town Station,32_nthrn_line_shape
NTH-19s,WE,WE-1908-10-13 00:00:00,Strand Station,32_nthrn_line_shape_back
NTH-32s,WD,WD-3203,Strand Station,32_centurycity_nthrn_line_shape
NTH-32s,WD,WD-3217,Strand Station,32_centurycity_nthrn_line_shape
NTH-32s,WD,WD-3200,Cape Town Station,32_centurycity_nthrn_line_shape_back
NTH-32s,WD,WD-3204,Cape Town Station,32_centurycity_nthrn_line_shape_back
NTH-34s,WD,WD-3400,Cape Town Station,nth_34_stellies_line_shape_back
NTH-34s,WD,WD-3402,Eerste River Station,nth_34_stellies_line_shape_back
NTH-34s,WD,WD-3404,Eerste River Station,nth_34_stellies_line_shape_back
NTH-34s,WD,WD-3408,Eerste River Station,nth_34_stellies_line_shape_back
NTH-34s,WD,WD-3410,Eerste River Station,nth_34_stellies_line_shape_back
NTH-34s,WD,WD-3412,Eerste River Station,nth_34_stellies_line_shape_back
NTH-34s,WD,WD-3401,Du Toit station ,nth_34_stellies_line_shape
NTH-34s,WD,WD-3403,Du Toit station ,nth_34_stellies_line_shape
NTH-34s,WD,WD-3405,Du Toit station ,nth_34_stellies_line_shape
NTH-34s,WD,WD-3407,Du Toit station ,nth_34_stellies_line_shape
NTH-34s,WD,WD-3409,Du Toit station ,nth_34_stellies_line_shape
NTH-34s,WD,WD-3411,Du Toit station ,nth_34_stellies_line_shape
NTH-34s,WD,WD-3413,Du Toit station ,nth_34_stellies_line_shape
NTH-35s,WD,WD-3501,Wellington Station,35_nrthn_line_shape
NTH-35s,WD,WD-3503,Wellington Station,35_nrthn_line_shape
NTH-35s,WD,WD-3509,Wellington Station,35_nrthn_line_shape
NTH-35s,WD,WD-3511,Wellington Station,35_nrthn_line_shape
NTH-35s,WD,WD-3500,Cape Town Station,35_nrthn_line_shape_back
NTH-35s,WD,WD-3504,Cape Town Station,35_nrthn_line_shape_back
NTH-35s,WD,WD-3506,Cape Town Station,35_nrthn_line_shape_back
NTH-35s,WD,WD-3508,Bellville Station,35_nrthn_line_shape_back
NTH-35s,WE,WE-3501,Wellington Station,35_nrthn_line_shape
NTH-35s,WE,WE-3503,Wellington Station,35_nrthn_line_shape
NTH-35s,WE,WE-3500,Bellville Station,35_nrthn_line_shape_back
NTH-35s,WE,WE-3504,Bellville Station,35_nrthn_line_shape_back
STH-1s,WD,WD-161,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-101,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-103,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-105,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-107,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-109,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-111,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-113,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-115,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-117,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-119,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-121,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-123,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-125,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-127,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-129,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-131,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-133,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-135,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-137,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-139,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-141,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-143,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-145,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-147,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-149,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-151,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-153,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-155,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-157,Fish Hoek Station,sth_line_shape_back
STH-1s,WD,WD-159,Fish Hoek Station,sth_line_shape_back
STH-1s,WE,WE-101,Fish Hoek Station,
STH-1s,WE,WE-103,Fish Hoek Station,
STH-1s,WE,WE-105,Fish Hoek Station,
STH-1s,WE,WE-107,Fish Hoek Station,
STH-1s,WE,WE-109,Fish Hoek Station,
STH-1s,WE,WE-111,Fish Hoek Station,
STH-1s,WE,WE-113,Fish Hoek Station,
STH-1s,WE,WE-115,Fish Hoek Station,
STH-1s,WE,WE-117,Fish Hoek Station,
STH-1s,WE,WE-119,Fish Hoek Station,
STH-1s,WE,WE-121,Simon's Town Station,
STH-1s,WE,WE-123,Simon's Town Station,
STH-1s,WE,WE-125,Fish Hoek Station,
STH-1s,WE,WE-127,Fish Hoek Station,
STH-1s,WD,WD-100,Cape Town Station,sth_line_shape
STH-1s,WD,WD-102,Cape Town Station,sth_line_shape
STH-1s,WD,WD-104,Cape Town Station,sth_line_shape
STH-1s,WD,WD-106,Cape Town Station,sth_line_shape
STH-1s,WD,WD-108,Cape Town Station,sth_line_shape
STH-1s,WD,WD-110,Cape Town Station,sth_line_shape
STH-1s,WD,WD-112,Cape Town Station,sth_line_shape
STH-1s,WD,WD-114,Cape Town Station,sth_line_shape
STH-1s,WD,WD-116,Cape Town Station,sth_line_shape
STH-1s,WD,WD-118,Cape Town Station,sth_line_shape
STH-1s,WD,WD-120,Cape Town Station,sth_line_shape
STH-1s,WD,WD-122,Cape Town Station,sth_line_shape
STH-1s,WD,WD-124,Cape Town Station,sth_line_shape
STH-1s,WD,WD-126,Cape Town Station,sth_line_shape
STH-1s,WD,WD-128,Cape Town Station,sth_line_shape
STH-1s,WD,WD-130,Cape Town Station,sth_line_shape
STH-1s,WD,WD-132,Cape Town Station,sth_line_shape
STH-1s,WD,WD-134,Cape Town Station,sth_line_shape
STH-1s,WD,WD-136,Cape Town Station,sth_line_shape
STH-1s,WD,WD-138,Cape Town Station,sth_line_shape
STH-1s,WD,WD-140,Cape Town Station,sth_line_shape
STH-1s,WD,WD-142,Cape Town Station,sth_line_shape
STH-1s,WD,WD-144,Cape Town Station,sth_line_shape
STH-1s,WD,WD-146,Cape Town Station,sth_line_shape
STH-1s,WD,WD-148,Cape Town Station,sth_line_shape
STH-1s,WD,WD-150,Cape Town Station,sth_line_shape
STH-1s,WD,WD-152,Cape Town Station,sth_line_shape
STH-1s,WD,WD-154,Cape Town Station,sth_line_shape
STH-1s,WD,WD-156,Cape Town Station,sth_line_shape
STH-1s,WD,WD-158,Cape Town Station,sth_line_shape
STH-1s,WE,WE-100,Cape Town Station,
STH-1s,WE,WE-102,Cape Town Station,
STH-1s,WE,WE-104,Cape Town Station,
